Is_there_a_Project_associated_,Ward,Sub_ward_location_001,Sub_Location_mnagei,Sub_Location_kishaunet,Sub_Location_Keringet,Sub_ward_location,Sub_location_kapenguria,Sub_location_kapkoris,Sub_location_Chemwochoi,PB_or_HQ,Project_Name,Additional_Project_Details,Tender sum,Unsure tender sum,wb_pb:id,Added wb_pb:id,Category,Type_of_project,If_Other_what_is_the_project_type,What_is_the_project_s_apparent_status,Is_the_project_operational,Why_has_the_project_not_yet_started,Why_has_the_project_stalled,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,Additional_remark,image:project,image_project_inside,Notes Adele,Validation status on Kobo,Notes Peter & Lucy,Adele response to Peter/Lucy,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,PB,Bendera Market Stalls,Construction of Market Stalls at Bendera,,,159,0,TIICD,market_stall,,completed,non_operational,,,excellent,"The construction has been built well in a strategic location.
Once the stalls are operational, both buyers and sellers will be sheltered during rainy seasons.
Sellers will be able to have a good display of their market produce since the stalls are spacious enough.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571914018995.jpg,,corrected capitalization. not found new project ID and to add tender sum,Approved,Added id no. 159 since it was an additional project,,,,
yes,mnagei,mnagei,,,keringet,,,,,PB,Teachers quarters,Construction of teachers quarters at Mortome primary school,,,160,0,ETT,Other_1,Teachers quarters,on_going,,,,adequate,Adequately constructed where teachers will be helped stay within school vicinity.,"Inadequate water supply.
Inadequate classroom.
Inadequate learning materials.
Toilets are not in good condition.
No electricity supply.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571736087738.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571735843966.jpg,"corrected spelling mistake, not found project ID (found in the field) and to add tender sum",Approved,added project id,,,,
yes,mnagei,mnagei,,,keringet,,,,,PB,Cheptuya Mixed Secondary School,Proposed Cheptuya Mixed Secondary School Water Borehole Project,,,162,0,WENR,borehole,,on_going,,,,adequate,The project is still ongoing and it requires fixing of pumping materials.,"Requires urgent fixing of pumping materials to operationalize the borehole.
If necessary, it requires setting up of solar powered borehole.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571747242775.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571747254094.jpg,"corrected project name, not yet found project ID (found in the field), corrected description. still to add tender sum",Approved,added project id,,,,
yes,mnagei,mnagei,,,keringet,,,,,PB,Cheptuya Mixed Secondary School,Cheptuya secondary school cows project,,,163,0,OG,Other_1,Cows project,completed,operational,,,excellent,It will assist in supplying school with milk.,"The cows are few with plenty of grazing land.
They have challenge in water supply.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571747969087.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571747976679.jpg,"corrected project name, not yet found project ID (found in the field). still to add tender sum. plus are we sure about department?",Approved, added project id.Yes the OG department is correct,ok,,,
yes,mnagei,mnagei,,,keringet,,,,,PB,Cheptuya Mixed Secondary School ,Erection of water tank,,,164,0,OG,Other_1,Water tank,completed,operational,,,excellent,Adequately constructed water tank.,It requires solar powered borehole.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571748216958.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571811405561.jpg,"was this at the same school Cheptuya Mixed Secondary School of previous project? If so we change the project name and description. not yet found project ID (found in the field). still to add tender sum. plus are we sure about department? Lastly, do we map also projects like this one?",Approved,"added project id, The Watertank is in the school anmd therefore the project name will be as I have indicated","so? do I have to put ""Cheptuya Mixed Secondary School""as project name and leave ""Water tank"" in the description? Plus is the department correct?",,,
yes,mnagei,Keringet,,lokormoi,,,,,,PB,Lokornoi Dispensary,Construction of Lokornoi Dispensary,,,165,0,HS,dispensary,,on_going,,,,poor,"The project is not in good conditions though it has not been operationalized.
The project will improve the health standards in the community since people won't have to travel for long in search of treatment.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571911470100.jpg,,nothing. not found new project ID and to add tender sum,Approved,Added project id,,,,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Kishaunet public toilet,Construction of public toilet at Kishaunet,,,166,0,PSIDU,public_toilet,,completed,operational,,,poor,Physical observation: The materials used are good though it's worn out. Impact: It has improved toilet facilities to the town centre.,The condition of the toilet is not good since dirt is everywhere and no cleanliness has been done.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571995392418.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571995418653.jpg,corrected grammar. not found new project ID since found in the field. tender sum to add,Approved,Added project id,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,PB,Kapenguria Town Toilet Project,Construction of Modern Toilets,,,167,0,HS,public_toilet,,completed,non_operational,,,excellent,The project has been completed but it's dull.,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572429893588.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572429905069.jpg,missing project ID since found in the field and tender sum,Approved,Added project id,,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Advertisement Board at Murkwijit Border,Installation of welcoming departure and advertisement board at Murkwijit border,"1,816,519.00",,201,,LHPPUD,Other_1,Advertisement Billboard,completed,operational,,,excellent,"The project is complete.
It shows the hospitality of the county therefore promoting tourism. ",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571738103389.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571738113492.jpg,isn't the tender sum a but high for that? corrected repetition,Approved,,,,,
yes,mnagei,mnagei,keringet,,,,,,,PB,Agricultural Training Centre at Keringet,Completion construction of tuition block for Agricultural Training Centre at Keringet Phase 11,,"117,650,000 / 233,543,198.30",203,,PEAGRI,Other_1,Vocational  Training Centre,completed,operational,,,excellent,"Excellent.
The project has improved the livelihood of the citizens by empowering them with various skills.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571387585318.jpg,,corrected project name and spelling mistake. Is the project type correct? Tender sum/budget to be confirmed because it was splitted in proposed construction/completion,Approved,the project type is correct,project type correct?,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Blood Bank Makutano,Electricals works at Blood Bank Makutano,"2,382,210.00",,204,,HS,Other_1,Electrical Works,completed,operational,,,excellent,"The facility has been connected to electricity and it is in use.
It has facilitated smooth operation of the equipment in the facility.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571752897451.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571733827261.jpg,corrected project name,Approved,,,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Blood Bank Makutano,Completion of perimeter wall (fencing) and gate,"1,000,000.00",,205,,HS,Other_1,Perimeter Wall,completed,operational,,,adequate,"The project is completed and in use.
It has ensured safety for the facility and the equipment within it.
The security lights are not yet installed.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571752225556.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571752241405.jpg,corrected project name,Approved,,,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Blood Bank Makutano,Completion of Blood Bank at Kapenguria,,"29,580,841.00",206,,HS,Other_1,Blood Transfusion Centre,completed,operational,,,excellent,"The project is complete and in use.
The facility provides modern technology for extraction and storage of human blood.",The project is well placed for people to donate blood.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571732636144.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571732683037.jpg,"Corrected project name. Check tender sum because on project list was for proposed construction, not completion",Approved,The project is complete on the ground and it is fully functional,,,,
yes,mnagei,Kishaunet,,Lityei,,,,,,PB,Boda Boda Shed at Makutano Mosque,Construction of Boda Boda Shed at Makutano Mosque.,"499,700.00",,207,,TIICD,Other_1,Boda Boda Shed,completed,operational,,,adequate,"Though in use there is water leakage.
The boda boda riders will be sheltered from rain.",The ironsheets should be improved.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571905762286.jpg,,"corrected project name, description and type grammar",Approved,,,,,
yes,mnagei,mnagei,keringet,,,,,,,PB,Chepangang Cattle Dip,Rehabilitation of Chepangang Cattle Dip,"620,020.00",,209,,PEAGRI,Other_1,Cattle Dip,completed,operational,,,adequate,The project is completed and operational.,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571995132747.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571995146037.jpg,corrected punctuation,Approved,,,,,
yes,mnagei,mnagei,keringet,,,,,,,PB,Chepangang ECDE,Construction of Chepangang ECDE Classroom,"800,000.00",,210,,ETT,ecde_centre,,on_going,,,,adequate,"The project is ongoing, finishing up and power connection required",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572000474579.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572000491790.jpg,description is too general: what has been done? renovation or construction or?,Approved,Have indicated the correct project descripition,,,,
yes,mnagei,Kishaunet,,Lityei,,,,,,PB,Cheposait Makutano Water springs,Cheposait - Makutano Water Sring Protection Works,"547,700.00",,211,,WENR,Water_project,,completed,operational,,,adequate,"The project is good despite being located along a bad road. 
The project provides water to the neighborhood.",Improvement of the road leading to the spring.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571904777122.jpg,,corrected project name,Approved,,,,,
yes,mnagei,mnagei,,,keringet,,,,,PB,Cheptuya ECDE,Construction of ECDE for advancement of pre-primary education,"500,000.00",,212,,ETT,ecde_centre,,completed,operational,,,excellent,"It's adequately constructed.
It will aid in advancement of pre-primary education.","It lacks electricity supply.
Water supply is a big challenge.
ECDE needs toilets on their own.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571745807652.jpg,,corrected spelling mistake,Approved,,,,,
yes,mnagei,kishaunet,,lityei,,,,,,PB,Chepunpun ECDE,Construction of Chepunpun ECDE,"800,000.00",,216,,ETT,ecde_centre,,on_going,,,,adequate,"
Adequate.
The classrooms are spacious and will be able to accommodate more pupils in the community.","The classrooms windows and doors need to be fixed.
Floor also need to be cemented well.
The classrooms need to be equipped with desks, chalkboard and chairs.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571387002418.jpg,,corrected spelling mistake,Approved,done,it still miss location and sublocation,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Cooling Plant at Murkwijit,Construction of Murkwijit Cooling and Processing plant,,"5,798,700.80 / 2,911,078.00",217,,TIICD,Other_1,Dairy Plant,on_going,,,,adequate,The project is ongoing and not yet operational.,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571745085240.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571745117264.jpg,"corrected project name. the sum needs to be checked because one is the budget, the other is the tender sum",Approved,,,,,
yes,mnagei,kishaunet,,lityei,,,,,,PB,Culverts and Drainage Works at Makutano,Culvert,"3,500,000.00",,218,,LHPPUD,road,,completed,operational,,,adequate,Well Cemented.,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572427646452.jpg,,Which dep is correct? RPWTI mapped while LHPPUD on project list,Approved,corrected the department as per the project list,,,,
yes,mnagei,mnagei,tartar,,,,,,,PB,Extension line Tartar-Keringet Kamuino Area,Construction of extension line Tartar-Keringet Kamuino Area-Mnagei Ward,"2,578,110.00",,219,,WENR,Water_project,,completed,operational,,,adequate,"The project is complete and operational, it has helped the community access basic clean water. Maintenance should be done.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572001351824.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572001364798.jpg,nothing,Approved,,,,,
yes,mnagei,mnagei,keringet,,,,,,,PB,FADC Sunflower Oil Processing Project,Completion of FADC Sunflower Oil processing project Development in Kapenguria,"4,614,201.60",,220,,PEAGRI,Other_1,Processing Plant,on_going,,,,adequate,"Excellent.
Once operational, it will open more job opportunities for the community.
The sunflower produced will open up more market opportunities for farmers.",Will require proper management for it to sustain the community and the market at large.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571397635803.jpg,,nothing,Approved,done,it still miss location and sublocation,,,
yes,mnagei,keringet,,,cheptuya,,,,,PB,Kadokony Dispensary,Maternity Wing at Kadokony Dispensary,,"5,740,816.80 / 2,943,750 / 2,712,660",224,,HS,dispensary,,completed,non_operational,,,excellent,The maternity ward is in good condition and waiting for to be opened.,"It needs continue power supply, currently there's a problem with the transformer.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571399598820.jpg,,corrected punctuation. tender sum needs to be checked and confirmed cause it was in three different rows in the project list,Approved,done,it still miss location and sublocation,,,
yes,mnagei,keringet,,,cheptuya,,,,,PB,Kadokony ECDE,Construction of Kadokony ECDE Classroom,"500,000.00",,225,,ETT,ecde_centre,,completed,operational,,,excellent,It will aid in advancing pre-primary education.,Challenge in water provision in the school.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571397744818.jpg,,"corrected project name, description too general: was it renovation, construction or what?",Approved,Indicated the correct project descripition,"it still miss location and sublocation, done",,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Kamuino Cattle Dip,Construction of Kamuino Cattle Dip,"2,280,000.00",,229,,PEAGRI,Other_1,Cattle Dip,completed,non_operational,,,adequate,"The project is complete but not yet operational.
Waiting for official opening.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571907241154.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571907259374.jpg,nothing,Approved,done,it still miss location and sublocation,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Kamuino ECDE,Construction of two classrooms at Kamuino ECDE,"1,000,000.00",,230,,ETT,ecde_centre,,completed,non_operational,,,excellent,The project is completed but not operational pending the official openings.,The classes should be opened soon enough during the next term.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571906435433.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571906464231.jpg,nothing,Approved,done,it still miss location and sublocation,,,
yes,mnagei,mnagei,keringet,,,,,,,PB,Kanglikwan Dispensary,Proposed Renovation of Kanglikwan Dispensary,"999,44.40",,232,,HS,dispensary,,on_going,,,,adequate,The project is ongoing.,Electricty should be installed connected to the facility.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571914966863.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571914979306.jpg,is the spelling of Kangulikwan correct or is it Kanglikwan as in the project list?,Approved,"It is Kanglikwan, I have corrected that","it still miss location and sublocation, done",,,
yes,mnagei,mnagei,keringet,,,,,,,PB,Kanglikwan ECDE,Construction of Kanglikwan ECDE,"400,000.00",,234,,ETT,ecde_centre,,completed,operational,,,excellent,The project is completed and operational.,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571916365424.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571916402132.jpg,corrected spelling in project name and description as per above comment,Approved,done,it still miss location and sublocation,,,
yes,mnagei,Kishaunet,,Kishaunet,,,,,,PB,Kachepkai ECDE,Construction of Kachepkai ECDE classrooms,"500,000.00",,235,,ETT,ecde_centre,,completed,non_operational,,,excellent,"Physical observation:
The construction materials used are of good quality. 
Impact:
Initially the ECDE used to be in a church and the condition of the room was not good, the new structure will provide a better environment for pupils.",The project was completed but not yet used since the community is waiting to be officially opened by the county.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571906577536.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571906599818.jpg,corrected description and grammar,Approved,,,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Kapenguria Youth Empowerment Centre and Library,Construction of Kapenguria Youth Empowerment Centre and Library,"10,409,144.00",,236,,YSTGSS,Other_1,Youth Empowerment Centre,completed,operational,,,adequate,"The project is complete and in use. 
It will provide ample working space for the many innovative youth within the area.
There is however no power connection.",There is need to connect electricity in the facility.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571731972766.jpg,,"project name: is this not the Kapenguria library? or maybe this is the correct name and it was wrong on project list? Therefore, check also if that is the correct tender sum",Approved,I have added library on the project description because it was omitted,"it still miss location and sublocation, done",,,
yes,mnagei,mnagei,psigirio,,"
",,,,,PB,Kapenguria Sub County Office,Construction of Kapenguria Sub County Office,"19,786,143.20",,237,,PSIDU,Other_1,Office Building,on_going,,,,adequate,"The the project is ongoing.
The facility provides ample working space and it is already in use by Wepesa and Agriculture office.",The project has taken too long to complete.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571731189761.jpg,,nothing. remember to compare with 238 to see if different or not,Approved,"ids 237 & 238 were the same thing. It could be repetition --> there is not 238, so good",,,,
yes,mnagei,kishaunet,,lityei,,,,,,PB,Kaplelachkoror Dispensary,Maternity Wing At Kaplelachkoror Dispensary,"2,300,000.00",,241,,HS,dispensary,,not_yet_started,,handed_over_to,,adequate,"Adequate since the materials are already in site and ready for construction.
Once the facility is complete, it will reduce cases of mother and child mortality.
Women will not have to travel long distances since the facility will be closer to them.",Materials on site need to be sheltered since they are open and can be dameged by rain or even be stolen.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571396588034.jpg,,corrected spelling mistake and project name,Approved,done,it still miss location and sublocation,,,
yes,mnagei,mnagei,,,keringet,,,,,PB,Keringet Cattle Dip,Rehabilitation of Keringet Cattle Dip,"700,000.00",,242,,PEAGRI,Other_1,Cattle Dip,completed,operational,,,adequate,"Adequate.
The project serves the community from two counties: Trans-Nnzoia and West Pokot.",The project requires proper management.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571394473581.jpg,,corrected spelling mistakes,Approved,sorted,it still miss location and sublocation,,,
yes,mnagei,mnagei,,,keringet,,,,,PB,Keringet Health Centre,Construction of staff houses at Keringet Health Centre,"3,620,920.00",,243,,HS,Other_1,Staff houses,completed,operational,,,adequate,"Adequate.
The project is mostly used by students on attachments.",Renovation required since it's not maintained well.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571395044568.jpg,,corrected spelling mistakes,Approved,sorted,it still miss location and sublocation,,,
yes,mnagei,mnagei,,,keringet,,,,,PB,Keringet Pit Latrine,Construction of Keringet Pit Latrine,"499,087.00",,244,,LHPPUD,public_toilet,,completed,operational,,,excellent,"Excellent.
The project has reduced poor sanitation cases within the market.
",The structure is well constructed but needs proper maintainance.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571396025558.jpg,,"corrected spelling mistakes. description too general: was it construction, renovation or what?",Approved,Indicated the correct project description,it still miss location and sublocation,,,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Kishaunet Cattle Dip,Renovation of Kishaunet Cattle Dip,"499,809.20",,246,,PEAGRI,Other_1,Cattle Dip,completed,non_operational,,,poor,"Physical observations: the project is in a bad state (the cattle dip is flooded with water). Impact: the cattle dip served the whole community well, but it's no longer functional.","Not in use because it's flooded, in bad state.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/IMG_20191018_110610-15_3_56.jpg,,corrected project name and spelling mistakes,Approved,sorted,it still miss location and sublocation,,,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Kishaunet Dispensary,Construction of maternity wing at Kishaunet dispensary,"5,930,000.00",,247,,HS,dispensary,,stalled,,,land_dispute,poor,"Physical observation: There is no construction going on, the project stalled due to land dispute.
Impact: If the maternity is completed, it will provide maternity services to the community.",Immediate need to solve the land dispute in order to complete the construction of the maternity wing.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571999400843.jpg,,corrected project name and grammar,Approved,done,it still miss location and sublocation,,,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Kishaunet Dispensary,Completion and extension of staff house block at Kishaunet dispensary,"3,160,000.00",,248,,HS,Other_1,Staff house block,completed,non_operational,,,excellent,"Physical Observations: General construction was well done. Some windows are broken. The verandah is wearing out and the house is currently not in use.
Impact: The house was to be used as residential place for the nurses, making sure they are always available to attend to the patient at any time",There is need to fix the windows and the verandah,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571999835930.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571999874856.jpg,"corrected project name and grammar, not sure about type Other > staff house. Duplication with day 18 --> which is the correct one?",Approved,This one should be retained --> merged comments and remarks,staff house is correct?,staff house block is correct because it comprises of units,,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Kishaunet Showground,Electrical wiring to showground in Kishaunet,"1,282,380.00",,250,,PEAGRI,Other_1,Electrical wiring,completed,operational,,,excellent,"Physical observation: The wiring was done well and it's fully operational.
Impact: The electrification improved power supply in the facility.",Part of the wiring is not working well hence affecting some of the lights in the facilities. It requires immediate repair.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571993235541.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571993259472.jpg,corrected grammar,Approved,,,,,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Kishaunet Showground,Proposed construction of dias and temporal sheds at Kishaunet showground,"28,612,142.42",,251,,PEAGRI,Other_1,Showground shed,completed,operational,,,excellent,Physical observation: well constructed and equipped. Impact: it provides shed to the people during functions.,In a good condition and very well maintained.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/IMG_20191018_112900-15_14_11.jpg,,corrected spelling mistakes,Approved,done,it still miss location and sublocation,,,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Kitelaposho ECDE,Completion of Kitelaposho ECDE,"800,000.00",,252,,ETT,ecde_centre,,completed,operational,,,excellent,"The project is complete and operational.
It has improved literacy in the area by promoting early childhood education.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571913477652.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571913491057.jpg,nothing,Approved,done,it still miss location and sublocation,,,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Kodongou Dispensary,Construction of Kodongou dispensary at Kamito girls secondary piece of land,"127,721.20",,253,,HS,dispensary,,not_yet_started,,under_procurement,,poor,"Physical observation: The land is there but the place is still bushy, nothing has been done so far. Impact: Once the project is complete, it will provide health facilities to the community.",Nothing has not yet started because no money has been allocated despite the fact that the land has been allocated by the secondary school but under condition that if need of secondary expansion the dispensary will be moved from the school land.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571990635421.jpg,,"corrected project ID, capitalization and grammar",Approved,,,,,
yes,mnagei,kishaunet,,Lityei,"
",,,,,PB,Lityei Cattle Dip,Renovation of Lityei Cattle Dip,"499,693.20",,256,,PEAGRI,Other_1,Cattle Dip,completed,operational,,,excellent,"The project is in excellent condition.
It helps the people in the community treat their livestock from external parasites and in prevention of livestock related disease.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571733506043.jpg,,corrected spelling mistake,Approved,,,,,
yes,mnagei,kishaunet,,Lityei,"
",,,,,PB,Lityei ECDE,Completion of Classroom at Lityei ECDE,"500,000.00",,257,,ETT,ecde_centre,,completed,operational,,,excellent,"The project is complete and in operation.
The classroom are well equipped.
The doors and windows are perfect.
The classrooms have adequate spacing.","It's complete and well equipped. 
Roofing and structure is excellent.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571730503623.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571729768594.jpg,Corrected spelling errors,Approved,,,,,
yes,mnagei,Kishaunet,,Lityei,,,,,,PB,Lityei Galib Mohamed Primary School,Field leveling and grading of Lityei Galib Mohammed Primary School Playground,"500,000.00",,258,,YSTGSS,sports_ground,,completed,operational,,,adequate,"There is limited space.
The leveling has been done poorly.",It needs improvement.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571731176794.jpg,,corrected project name and description,Approved,,,,,
yes,mnagei,Keringet,,lokornoi,,,,,,PB,Lokornoi Cattle Dip,Construction of Lokornoi cattle dip,"2,449,750.00",,259,,PEAGRI,Other_1,Cattle Dip,completed,non_operational,,,adequate,"The project is complete but it is not functional.
The cattle dip will help farmers control pests and diseases.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571909907483.jpg,,corrected capitalization,Approved,,,,,
yes,mnagei,Keringet,,LOKORNOI,,,,,,PB,Lokornoi ECDE,Construction of two ECDE classrooms,"1,000,000.00",,260,,ETT,ecde_centre,,completed,operational,,,adequate,The project is in use. There was poor workmanship in finishing.,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571911063427.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571911096989.jpg,nothing,Approved,,,,,
yes,mnagei,Keringet,,LOKORNOI,,,,,,PB,Lokornoi Water Project,Intake works and installation of Water Tank,"497,900.00",,270,,WENR,Water_project,,completed,operational,,,adequate,"Water blockage is rampart in this project.
The has increased water supply to the community.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571911707285.jpg,,nothing,Approved,,,,,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Lopalal ECDE,Construction of ECDE classroom,"800,000.00",,271,,ETT,ecde_centre,,on_going,,,,adequate,"Physical observations: Construction is completed but not yet fully furnished (it lacks windows, doors, blackboards, tables). Impact: the project has boost early childhood education in the community.","The project is complete but it still need some finishing to be done. Also construction of primary school within the area of the project in that. After the pupils graduate from PP2, they tend to join neighboring school which are kilometers away.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/IMG_20191022_115547.jpg-14_30_25.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/IMG_20191022_120008-14_30_41.jpg,corrected spelling mistakes,Approved,,,,,
yes,mnagei,kishaunet,,lityei,,,,,,PB,Makutano Cloth market,Proposed civil works at Makutano market,"5,959,291.20",,274,,TIICD,market_stall,,completed,operational,,,excellent,"It promotes trade and marketing activities.
It's good and well operating.",Perfect work.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572422259894.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572422276485.jpg,corrected grammar and capitalization,Approved,,,,,
yes,mnagei,Kishaunet,,Lityei,,,,,,PB,Makutano Market,Proposed Renovation of Makutano Market,"8,900,880.50",,275,,TIICD,market_stall,,on_going,,,,adequate,"The painting has not been completed inside the market.
Leakages on the ironsheets.
Insecurity from neighborhood.
The market will promote trade since the market will have a variety of products to market.","The leakages should be corrected.
The neighborhood structures to be solved.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571911909940.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571911920470.jpg,nothing,Approved,,,,,
yes,mnagei,kishaunet,,lityei,,,,,,PB,Makutano Market,Electrical Renovation at Makutano Market,"999,340.00",,276,,TIICD,market_stall,,completed,operational,,,adequate,"Electrical connectivity has been done but some of the bulbs are not are not working.
It has enhanced security and increased working hours in the town.
",,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572424666631.jpg,"nothing, why pic only inside and not also outside?",Approved,what are you suggesting,,,,
